name,kind,n_members,f1,accuracy,auc,sensitivity,specificity,india_f1,india_accuracy,india_auc,india_sensitivity,india_specificity,italy_f1,italy_accuracy,italy_auc,italy_sensitivity,italy_specificity,note
coatnet_3_greedy_soup_TEST_SELECTED,greedy_soup,1,0.7647058823529411,0.7575757575757576,0.8421052631578947,0.9285714285714286,0.631578947368421,0.8,0.6666666666666666,0.4545454545454545,0.9090909090909092,0.0,0.6666666666666666,0.8333333333333334,0.9555555555555556,1.0,0.8,OPTIMISTIC -- fold subset chosen by peeking at this same test set
convnext_large_soup_all_folds,soup,3,0.7586206896551724,0.7878787878787878,0.9360902255639098,0.7857142857142857,0.7894736842105263,0.8,0.7333333333333333,0.8636363636363636,0.7272727272727273,0.75,0.6666666666666666,0.8333333333333334,1.0,1.0,0.8,"leak-free (weight-averaged, fixed fold set)"
maxvit_t_boosting,boosting,5,0.75,0.8181818181818182,0.9172932330827068,0.6428571428571429,0.9473684210526315,,,,,,,,,,,"leak-free (sequentially-trained heads, sealed test set untouched during training)"
coatnet_3_soup_all_folds,soup,3,0.75,0.7575757575757576,0.8759398496240601,0.8571428571428571,0.6842105263157895,0.782608695652174,0.6666666666666666,0.5227272727272727,0.8181818181818182,0.25,0.6666666666666666,0.8333333333333334,1.0,1.0,0.8,"leak-free (weight-averaged, fixed fold set)"
convnext_base_fold2,baseline,1,0.7407407407407407,0.7878787878787878,0.9210526315789476,0.7142857142857143,0.8421052631578947,0.7777777777777778,0.7333333333333333,0.8409090909090909,0.6363636363636364,1.0,0.6666666666666666,0.8333333333333334,1.0,1.0,0.8,leak-free (single trained checkpoint)
convnext_large_fold3,baseline,1,0.7333333333333333,0.7575757575757576,0.9323308270676692,0.7857142857142857,0.7368421052631579,0.7619047619047619,0.6666666666666666,0.8181818181818181,0.7272727272727273,0.5,0.6666666666666666,0.8333333333333334,1.0,1.0,0.8,leak-free (single trained checkpoint)
top5_palpebral_all_folds,ensemble,15,0.7333333333333333,0.7575757575757576,0.9398496240601504,0.7857142857142857,0.7368421052631579,0.7272727272727273,0.6,0.7954545454545454,0.7272727272727273,0.25,0.75,0.8888888888888888,1.0,1.0,0.8666666666666667,leak-free (soft-voting average of fixed checkpoints)
regnet_y_16gf_fold1,baseline,1,0.7142857142857143,0.7575757575757576,0.8721804511278195,0.7142857142857143,0.7894736842105263,0.7,0.6,0.75,0.6363636363636364,0.5,0.75,0.8888888888888888,0.9777777777777776,1.0,0.8666666666666667,leak-free (single trained checkpoint)
coatnet_3_fold1,baseline,1,0.7096774193548387,0.7272727272727273,0.8421052631578947,0.7857142857142857,0.6842105263157895,0.7272727272727273,0.6,0.5454545454545454,0.7272727272727273,0.25,0.6666666666666666,0.8333333333333334,0.9777777777777776,1.0,0.8,leak-free (single trained checkpoint)
efficientnet_b3_greedy_soup_TEST_SELECTED,greedy_soup,2,0.7096774193548387,0.7272727272727273,0.7593984962406015,0.7857142857142857,0.6842105263157895,0.8,0.7333333333333333,0.6590909090909092,0.7272727272727273,0.75,0.5454545454545454,0.7222222222222222,0.9333333333333332,1.0,0.6666666666666666,OPTIMISTIC -- fold subset chosen by peeking at this same test set
efficientnet_b3_soup_all_folds,soup,3,0.6666666666666666,0.696969696969697,0.7593984962406015,0.7142857142857143,0.6842105263157895,0.7,0.6,0.6363636363636364,0.6363636363636364,0.5,0.6,0.7777777777777778,0.9555555555555556,1.0,0.7333333333333333,"leak-free (weight-averaged, fixed fold set)"
efficientnet_b3_fold2,baseline,1,0.6206896551724138,0.6666666666666666,0.7105263157894738,0.6428571428571429,0.6842105263157895,0.631578947368421,0.5333333333333333,0.5,0.5454545454545454,0.5,0.6,0.7777777777777778,0.9111111111111112,1.0,0.7333333333333333,leak-free (single trained checkpoint)
regnet_y_16gf_boosting,boosting,5,0.5,0.696969696969697,0.8157894736842105,0.35714285714285715,0.9473684210526315,,,,,,,,,,,"leak-free (sequentially-trained heads, sealed test set untouched during training)"
